Industry Title,SIC Code,Company Name,cityba,zipba,Industry_Encoded,City_Encoded,Cluster
"COMMERCIAL BANKS, NEC",6029.0,"Banco Santander, S.A.",MADRID,28660,41,795,4
"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",3812.0,NORTHROP GRUMMAN CORP /DE/,FALLS CHURCH,22042,269,457,1
MISCELLANEOUS PUBLISHING,2741.0,THOMSON REUTERS CORP /CAN/,TORONTO,M5H 2R2,165,1369,0
HOTELS & MOTELS,7011.0,MARRIOTT INTERNATIONAL INC /MD/,BETHESDA,20814,110,126,2
"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",3728.0,TransDigm Group INC,CLEVELAND,44114,14,290,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,"CrowdStrike Holdings, Inc.",AUSTIN,78701,319,68,1
"RAILROADS, LINE-HAUL OPERATING",4011.0,CANADIAN PACIFIC KANSAS CITY LTD/CN,CALGARY ALBERTA,T2C 4X9,229,199,1
CRUDE PETROLEUM & NATURAL GAS,1311.0,CANADIAN NATURAL RESOURCES LTD,CALGARY ALBERTA CANADA,T2P 4J8,56,200,2
RETAIL-DRUG STORES AND PROPRIETARY STORES,5912.0,CVS HEALTH Corp,WOONSOCKET,2895,244,1533,0
BEVERAGES,2080.0,DIAGEO PLC,LONDON,W1F 7HS,21,768,4
"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",2840.0,ECOLAB INC.,SAINT PAUL,55102,329,1175,3
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,3M CO,ST PAUL,55144-1000,340,1291,3
INDUSTRIAL INORGANIC CHEMICALS,2810.0,"Air Products & Chemicals, Inc.",ALLENTOWN,18106-5500,118,31,2
RETAIL-VARIETY STORES,5331.0,TARGET CORP,MINNEAPOLIS,55403,261,875,3
CRUDE PETROLEUM & NATURAL GAS,1311.0,EOG RESOURCES INC,HOUSTON,77002,56,635,2
SEMICONDUCTORS & RELATED DEVICES,3674.0,"Marvell Technology, Inc.",WILMINGTON,19801,273,1512,3
"RAILROADS, LINE-HAUL OPERATING",4011.0,CANADIAN NATIONAL RAILWAY CO,CANADA,H3B 2M9,229,212,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,BECTON DICKINSON & CO,FRANKLIN LAKES,07417-1880,340,492,1
AIR COURIER SERVICES,4513.0,FEDEX CORP,MEMPHIS,-38120,7,841,4
RETAIL-AUTO & HOME SUPPLY STORES,5531.0,O REILLY AUTOMOTIVE INC,SPRINGFIELD,65802,237,1288,0
"COMMERCIAL BANKS, NEC",6029.0,BANK OF MONTREAL /CAN/,TORONTO,M5X 1A1,41,1369,4
COMMODITY CONTRACTS BROKERS & DEALERS,6221.0,SPDR GOLD TRUST,NEW YORK,10017,43,956,4
"RAILROADS, LINE-HAUL OPERATING",4011.0,CSX CORP,JACKSONVILLE,32202,229,662,1
"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",5122.0,MCKESSON CORP,IRVING,75039,365,654,3
AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,3585.0,CARRIER GLOBAL Corp,PALM BEACH GARDENS,33418,10,1041,4
"CEMENT, HYDRAULIC",3241.0,CRH PUBLIC LTD CO,DUBLIN IRELAND,22,36,391,2
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"DoorDash, Inc.",SAN FRANCISCO,94107,280,1189,3
PETROLEUM REFINING,2911.0,EQUINOR ASA,STAVANGER NORWAY,N 4035,203,1307,0
METAL MINING,1000.0,FREEPORT-MCMORAN INC,PHOENIX,85004,147,1067,0
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,"Interactive Brokers Group, Inc.",GREENWICH,6830,272,552,1
NATURAL GAS TRANSMISSION,4922.0,"WILLIAMS COMPANIES, INC.",TULSA,74172,177,1382,0
REAL ESTATE INVESTMENT TRUSTS,6798.0,SIMON PROPERTY GROUP INC /DE/,INDIANAPOLIS,46204-3438,232,649,1
STATE COMMERCIAL BANKS,6022.0,BANK OF NOVA SCOTIA,TORONTO,M5H 0B4,334,1369,3
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,"Workday, Inc.",PLEASANTON,94588,284,1078,3
NATIONAL COMMERCIAL BANKS,6021.0,CAPITAL ONE FINANCIAL CORP,MCLEAN,22102,174,832,0
REFUSE SYSTEMS,4953.0,"REPUBLIC SERVICES, INC.",PHOENIX,85054,235,1067,0
NATURAL GAS TRANSMISSION,4922.0,ENTERPRISE PRODUCTS PARTNERS L.P.,HOUSTON,77002,177,635,0
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,Arthur J. Gallagher & Co.,ROLLING MEADOWS,60008-4050,124,1149,4
ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),3600.0,EMERSON ELECTRIC CO,ST LOUIS,63136,73,1290,4
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Autodesk, Inc.",SAN FRANCISCO,94105,319,1189,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,"DIGITAL REALTY TRUST, INC.",AUSTIN,78735,232,68,1
"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577.0,"Fortinet, Inc.",SUNNYVALE,94086,48,1323,4
"COMMERCIAL BANKS, NEC",6029.0,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,TORONTO,M5J 0E7,41,1369,4
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,"Trade Desk, Inc.",VENTURA,93001,286,1411,3
ACCIDENT & HEALTH INSURANCE,6321.0,AFLAC INC,COLUMBUS,31999,1,304,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,Public Storage,GLENDALE,91201-2349,232,526,1
"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823.0,ROPER TECHNOLOGIES INC,SARASOTA,34240,119,1215,4
NATIONAL COMMERCIAL BANKS,6021.0,TRUIST FINANCIAL CORP,CHARLOTTE,28202,174,254,1
HOTELS & MOTELS,7011.0,Hilton Worldwide Holdings Inc.,MCLEAN,22102,110,832,4
"RAILROADS, LINE-HAUL OPERATING",4011.0,NORFOLK SOUTHERN CORP,ATLANTA,30308,229,61,1
"COMMERCIAL BANKS, NEC",6029.0,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",MADRID,28050,41,795,4
NATURAL GAS TRANSMISISON & DISTRIBUTION,4923.0,ONEOK INC /NEW/,TULSA,74103,176,1382,0
"OIL & GAS FIELD SERVICES, NEC",1389.0,SCHLUMBERGER LIMITED/NV,HOUSTON,77056,185,635,0
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,"TRAVELERS COMPANIES, INC.",SAINT PAUL,55102,87,1175,4
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,AppLovin Corp,PALO ALTO,94304-1047,286,1043,3
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,General Motors Co,DETROIT,48265-3000,171,367,2
NATURAL GAS TRANSMISSION,4922.0,Energy Transfer LP,DALLAS,75225,177,341,1
WATER TRANSPORTATION,4400.0,ROYAL CARIBBEAN CRUISES LTD,MIAMI,33132,359,852,3
LIFE INSURANCE,6311.0,METLIFE INC,NEW YORK,10166,135,956,0
STATE COMMERCIAL BANKS,6022.0,Bank of New York Mellon Corp,NEW YORK,10286,334,956,3
OPERATIVE BUILDERS,1531.0,HORTON D R INC /DE/,ARLINGTON,76011,187,53,1
WHOLESALE-DURABLE GOODS,5000.0,"W.W. GRAINGER, INC.",LAKE FOREST,60045-5201,366,716,3
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,PACCAR INC,BELLEVUE,98004,171,109,1
NATURAL GAS TRANSMISSION,4922.0,"KINDER MORGAN, INC.",HOUSTON,77002,177,635,0
"COMMERCIAL BANKS, NEC",6029.0,ING GROEP NV,AMSTERDAM,1000 BV,41,41,2
GAS & OTHER SERVICES COMBINED,4932.0,SEMPRA,SAN DIEGO,92101,94,1187,4
ELECTRIC & OTHER SERVICES COMBINED,4931.0,PG&E Corp,OAKLAND,94612,65,1001,4
